iterations,duration,call,division,memory,other,programflow
2800,48.456003449,0.006660221644810268,0.007418736049107143,0.006584908621651786,0.006013248988560268,0.00618316650390625
2900,49.751788734,0.0061419677734375,0.006503801016971983,0.006173285122575431,0.008551404229525862,0.006314592032596982
3000,52.054404334,0.006316569010416667,0.006649943033854167,0.00634796142578125,0.0062095133463541665,0.0071070556640625
3100,54.78262027,0.006680750693044355,0.006652891097530242,0.0059217489919354835,0.0060134001701108875,0.005985442130796371
3200,55.575422627,0.006538982391357422,0.007026519775390625,0.006131858825683594,0.005974445343017578,0.00671478271484375
3300,56.146539293,0.006437784830729167,0.005942197857481061,0.006528819691051136,0.0064506577000473485,0.006685828006628788
3400,58.638908506,0.006915301154641544,0.006928046731387868,0.006742374195772059,0.006611435834099265,0.005786671357996324
3500,60.706435967,0.006505754743303571,0.0067987758091517855,0.006567051478794643,0.006426426478794643,0.005889334542410714
3600,61.570503373,0.006266920301649306,0.006290791829427083,0.007091403537326389,0.006691741943359375,0.005882636176215278
3700,64.216677216,0.006073080526815878,0.006705916121199324,0.006878200221706081,0.006512038772170608,0.00661243335620777
3800,67.153550963,0.005676381964432565,0.006401013826069079,0.006523084138569079,0.0064915546618009865,0.006460025185032895
3900,68.65770362,0.006353681515424679,0.006432369916866987,0.006515315129206731,0.006272676908052884,0.006261502779447116
4000,68.515359052,0.006900741577148438,0.00603961181640625,0.00683038330078125,0.006733963012695313,0.006058135986328125
4100,70.662381858,0.006320592368521342,0.0065239585318216465,0.006614171470083841,0.006391571789253049,0.006325832459984756
4200,74.82075246,0.006137477329799107,0.006424531482514881,0.006187962123325893,0.006245553152901786,0.006237371535528274
4300,73.861417401,0.006403411155523256,0.007011676167332849,0.0068560649073401165,0.006007321379905523,0.00596973507903343
4400,77.239398162,0.00673797607421875,0.006321161443536932,0.0063133101029829546,0.0064531915838068185,0.006589272238991477
4500,77.17369868,0.006229926215277778,0.006469658745659722,0.0065460205078125,0.006695448133680556,0.005906222873263889
4600,79.870477752,0.0063177490234375,0.006818834387737772,0.006586675229279891,0.006156430451766304,0.006288213315217391
4700,81.689190016,0.006124189660904255,0.006681453623670213,0.006452169215425532,0.0068348986037234044,0.006563603827293883
4800,83.486351385,0.007329190572102864,0.006416130065917969,0.006603012084960938,0.006036122639973958,0.006270828247070312
4900,82.752954082,0.006776185327646684,0.00717033541932398,0.006457656548947704,0.006463000239158163,0.0063766168088329085
5000,86.518447534,0.00610087890625,0.0059277099609375,0.00661490478515625,0.00636212158203125,0.0067356689453125
5100,87.581294513,0.006683170094209559,0.006487546434589461,0.006389806410845588,0.006636089250153186,0.006325922947303921
5200,91.701191079,0.00609130859375,0.006116990309495193,0.006695662278395432,0.006085838904747596,0.006338583139272836
5300,92.234622595,0.006156431953862028,0.006339042231721698,0.006097757591391509,0.006626563881928066,0.006762223153744104
5400,94.33073506,0.006162075466579861,0.006268016673900463,0.006322643138744213,0.0060509236653645835,0.006251684118200231
5500,96.87584734,0.006584128639914773,0.006735429243607954,0.006359929865056818,0.006246271306818181,0.006379727450284091
5600,97.468546834,0.005906949724469866,0.006314261300223214,0.006441312517438616,0.006181150163922991,0.006059929983956473
5700,98.437220931,0.006618630927905701,0.0064676599335252195,0.006481280410498904,0.006686701189007676,0.006098943342242325
